Iteration	Plant	Treatment	Emitter	Receiver	Herbivory	Indole	Monoterpenes	Sesquiterpenes	DMNT	TMTT
13	9	B	LowNI	High	wounded	6,905738636	23,55954545	7,571590909	3,161232955	1,132323864
13	10	B	LowNI	High	wounded	5,660944882	18,22574803	4,407362205	0,679488189	0,398224409
13	11	B	LowNI	High	wounded	3,868728261	26,025	8,953423913	3,922059783	1,239527174
13	12	B	LowNI	High	wounded	9,347673469	19,27902041	6,249346939	1,330420408	0,310410612
13	13	C	LowI	Low	wounded	3,694655022	29,42004367	16,96445415	8,593537118	1,369707424
13	14	C	LowI	Low	wounded	4,505522222	29,05561111	19,4285	6,040555556	1,645027778
13	15	C	LowI	Low	wounded	10,81084034	42,90957983	18,68756303	7,629361345	2,062092437
13	16	C	LowI	Low	wounded	9,39012931	27,84275862	15,33689655	8,240991379	1,22612069
13	17	C	LowI	Low	wounded	11,66847059	30,65041176	22,55970588	9,093823529	1,828947059
13	18	C	LowI	Low	wounded	17,59399083	25,73889908	17,2566055	11,36577982	1,447692661
13	19	D	LowNI	Low	wounded	2,791084158	29,31420792	13,40683168	7,191188119	1,18100495
13	20	D	LowNI	Low	wounded	2,22344843	24,75690583	9,636816143	6,579820628	1,09732287
13	21	D	LowNI	Low	wounded	3,572088235	22,35240196	12,89901961	6,117941176	1,404862745
13	22	D	LowNI	Low	wounded	8,245962441	25,23032864	16,90169014	6,961361502	1,047460094
13	23	D	LowNI	Low	wounded	14,79832168	38,73909091	20,84587413	13,38762238	1,778468531
13	24	D	LowNI	Low	wounded	5,76706383	21,85374468	13,99565957	4,403659574	1,343834043
